사용월,호선명,역ID,지하철역,유임승차,무임승차,유임하차,무임하차,작업일시,구
15-Apr,1호선,156,신설동,"405,736","397,490","405,736","397,490",2015-05-14 17:56,동대문구
15-Apr,1호선,151,시청,"661,468","667,648","661,468","667,648",2015-05-14 17:56,중구
15-Apr,1호선,154,종로5가,"574,108","584,534","574,108","584,534",2015-05-14 17:56,종로구
15-Apr,1호선,158,청량리(지하),"596,596","623,362","596,596","623,362",2015-05-14 17:56,동대문구
15-Apr,1호선,155,동대문,"361,972","422,268","361,972","422,268",2015-05-14 17:56,종로구
15-Apr,1호선,153,종로3가,"760,938","690,626","760,938","690,626",2015-05-14 17:56,종로구
15-Apr,1호선,157,제기동,"297,007","295,731","297,007","295,731",2015-05-14 17:56,동대문구
15-Apr,1호선,150,서울역,"1,676,648","1,520,709","1,676,648","1,520,709",2015-05-14 17:56,중구
15-Apr,1호선,159,동묘앞,"167,983","186,859","167,983","186,859",2015-05-14 17:56,종로구
15-Apr,1호선,152,종각,"1,254,011","1,172,311","1,254,011","1,172,311",2015-05-14 17:56,종로구
15-Apr,2호선,205,동대문역사문화공원,"496,214","575,847","496,214","575,847",2015-05-14 17:56,중구
15-Apr,2호선,247,도림천,"25,019","29,351","25,019","29,351",2015-05-14 17:56,구로구
15-Apr,2호선,237,당산,"675,943","738,293","675,943","738,293",2015-05-14 17:56,영등포구
15-Apr,2호선,236,영등포구청,"562,472","567,191","562,472","567,191",2015-05-14 17:56,영등포구
15-Apr,2호선,209,한양대,"415,550","492,943","415,550","492,943",2015-05-14 17:56,성동구
15-Apr,2호선,215,잠실나루,"482,560","461,222","482,560","461,222",2015-05-14 17:56,송파구
15-Apr,2호선,225,방배,"619,659","629,908","619,659","629,908",2015-05-14 17:56,서초구
15-Apr,2호선,214,강변,"1,425,513","1,407,363","1,425,513","1,407,363",2015-05-14 17:56,광진구
15-Apr,2호선,201,시청,"717,817","703,710","717,817","703,710",2015-05-14 17:56,중구
15-Apr,2호선,227,낙성대,"846,594","812,722","846,594","812,722",2015-05-14 17:56,관악구
15-Apr,2호선,204,을지로4가,"298,598","298,729","298,598","298,729",2015-05-14 17:56,중구
15-Apr,2호선,245,신답,"31,194","36,498","31,194","36,498",2015-05-14 17:56,성동구
15-Apr,2호선,248,양천구청,"184,073","196,271","184,073","196,271",2015-05-14 17:56,양천구
15-Apr,2호선,226,사당,"1,202,443","1,367,282","1,202,443","1,367,282",2015-05-14 17:56,동작구
15-Apr,2호선,231,신대방,"712,355","676,757","712,355","676,757",2015-05-14 17:56,관악구
15-Apr,2호선,219,삼성,"1,708,784","1,780,402","1,708,784","1,780,402",2015-05-14 17:56,강남구
15-Apr,2호선,224,서초,"628,940","636,547","628,940","636,547",2015-05-14 17:56,서초구
15-Apr,2호선,249,신정네거리,"275,492","269,665","275,492","269,665",2015-05-14 17:56,양천구
15-Apr,2호선,229,봉천,"594,057","535,138","594,057","535,138",2015-05-14 17:56,관악구
15-Apr,2호선,234,신도림,"1,852,924","1,847,980","1,852,924","1,847,980",2015-05-14 17:56,구로구
15-Apr,2호선,208,왕십리(성동구청),"589,784","485,553","589,784","485,553",2015-05-14 17:56,성동구
15-Apr,2호선,244,용답,"62,427","64,964","62,427","64,964",2015-05-14 17:56,성동구
15-Apr,2호선,206,신당,"354,822","374,640","354,822","374,640",2015-05-14 17:56,중구
15-Apr,2호선,217,신천,"715,371","691,670","715,371","691,670",2015-05-14 17:56,송파구
15-Apr,2호선,235,문래,"510,970","518,271","510,970","518,271",2015-05-14 17:56,영등포구
15-Apr,2호선,238,합정,"976,159","980,681","976,159","980,681",2015-05-14 17:56,마포구
15-Apr,2호선,250,용두,"46,391","49,134","46,391","49,134",2015-05-14 17:56,동대문구
15-Apr,2호선,240,신촌,"1,435,917","1,472,741","1,435,917","1,472,741",2015-05-14 17:56,마포구
15-Apr,2호선,210,뚝섬,"429,744","454,196","429,744","454,196",2015-05-14 17:56,성동구
15-Apr,2호선,218,종합운동장,"511,477","584,870","511,477","584,870",2015-05-14 17:56,송파구
15-Apr,2호선,228,서울대입구,"1,462,296","1,431,575","1,462,296","1,431,575",2015-05-14 17:56,관악구
15-Apr,2호선,212,건대입구,"1,311,804","1,423,964","1,311,804","1,423,964",2015-05-14 17:56,광진구
15-Apr,2호선,216,잠실,"2,372,992","2,151,715","2,372,992","2,151,715",2015-05-14 17:56,송파구
15-Apr,2호선,233,대림,"840,926","875,706","840,926","875,706",2015-05-14 17:56,구로구
15-Apr,2호선,241,이대,"685,734","727,840","685,734","727,840",2015-05-14 17:56,마포구
15-Apr,2호선,242,아현,"249,942","217,488","249,942","217,488",2015-05-14 17:56,마포구
15-Apr,2호선,207,상왕십리,"263,109","247,126","263,109","247,126",2015-05-14 17:56,성동구
15-Apr,2호선,211,성수,"649,128","719,975","649,128","719,975",2015-05-14 17:56,성동구
15-Apr,2호선,232,구로디지털단지,"1,813,560","1,816,854","1,813,560","1,816,854",2015-05-14 17:56,구로구
15-Apr,2호선,243,충정로,"297,989","328,597","297,989","328,597",2015-05-14 17:56,서대문구
15-Apr,2호선,246,신설동,"92,166","87,747","92,166","87,747",2015-05-14 17:56,동대문구
15-Apr,2호선,213,구의,"624,602","609,048","624,602","609,048",2015-05-14 17:56,광진구
15-Apr,2호선,221,역삼,"1,259,824","1,417,431","1,259,824","1,417,431",2015-05-14 17:56,강남구
15-Apr,2호선,222,강남,"2,827,674","2,822,580","2,827,674","2,822,580",2015-05-14 17:56,강남구
15-Apr,2호선,223,교대,"1,029,945","1,152,495","1,029,945","1,152,495",2015-05-14 17:56,서초구
15-Apr,2호선,202,을지로입구,"1,461,440","1,453,444","1,461,440","1,453,444",2015-05-14 17:56,중구
15-Apr,2호선,203,을지로3가,"512,673","496,511","512,673","496,511",2015-05-14 17:56,중구
15-Apr,2호선,220,선릉,"1,476,444","1,278,180","1,476,444","1,278,180",2015-05-14 17:56,강남구
15-Apr,2호선,230,신림,"2,019,614","1,952,714","2,019,614","1,952,714",2015-05-14 17:56,관악구
15-Apr,2호선,239,홍대입구,"2,068,501","2,201,325","2,068,501","2,201,325",2015-05-14 17:56,마포구
15-Apr,3호선,338,일원,"238,913","250,107","238,913","250,107",2015-05-14 17:56,강남구
15-Apr,3호선,337,대청,"295,632","256,176","295,632","256,176",2015-05-14 17:56,강남구
15-Apr,3호선,315,무악재,"100,282","96,363","100,282","96,363",2015-05-14 17:56,서대문구
15-Apr,3호선,318,안국,"765,908","823,018","765,908","823,018",2015-05-14 17:56,종로구
15-Apr,3호선,325,옥수,"269,919","276,862","269,919","276,862",2015-05-14 17:56,성동구
15-Apr,3호선,319,종로3가,"192,103","265,040","192,103","265,040",2015-05-14 17:56,종로구
15-Apr,3호선,309,지축,"29,351","29,472","29,351","29,472",2015-05-14 17:56,
15-Apr,3호선,312,불광,"452,440","491,889","452,440","491,889",2015-05-14 17:56,은평구
15-Apr,3호선,323,약수,"367,610","350,029","367,610","350,029",2015-05-14 17:56,중구
15-Apr,3호선,342,오금,"188,046","164,739","188,046","164,739",2015-05-14 17:56,송파구
15-Apr,3호선,335,대치,"298,594","278,195","298,594","278,195",2015-05-14 17:56,강남구
15-Apr,3호선,317,경복궁,"726,709","775,317","726,709","775,317",2015-05-14 17:56,종로구
15-Apr,3호선,327,신사,"887,132","977,889","887,132","977,889",2015-05-14 17:56,강남구
15-Apr,3호선,340,가락시장,"213,069","193,279","213,069","193,279",2015-05-14 17:56,송파구
15-Apr,3호선,324,금호,"195,861","176,541","195,861","176,541",2015-05-14 17:56,성동구
15-Apr,3호선,329,고속터미널,"1,523,125","1,582,316","1,523,125","1,582,316",2015-05-14 17:56,서초구
15-Apr,3호선,314,홍제,"512,396","478,543","512,396","478,543",2015-05-14 17:56,서대문구
15-Apr,3호선,334,도곡,"202,223","187,979","202,223","187,979",2015-05-14 17:56,강남구
15-Apr,3호선,339,수서,"302,147","310,193","302,147","310,193",2015-05-14 17:56,강남구
15-Apr,3호선,330,교대,"382,738","294,960","382,738","294,960",2015-05-14 17:56,서초구
15-Apr,3호선,320,을지로3가,"218,629","257,134","218,629","257,134",2015-05-14 17:56,중구
15-Apr,3호선,326,압구정,"949,332","1,063,433","949,332","1,063,433",2015-05-14 17:56,강남구
15-Apr,3호선,311,연신내,"1,046,468","974,026","1,046,468","974,026",2015-05-14 17:56,은평구
15-Apr,3호선,316,독립문,"173,964","182,081","173,964","182,081",2015-05-14 17:56,서대문구
15-Apr,3호선,332,양재,"1,191,871","1,264,377","1,191,871","1,264,377",2015-05-14 17:56,서초구
15-Apr,3호선,341,경찰병원,"192,872","189,303","192,872","189,303",2015-05-14 17:56,송파구
15-Apr,3호선,313,녹번,"387,437","325,053","387,437","325,053",2015-05-14 17:56,은평구
15-Apr,3호선,322,동대입구,"353,775","409,108","353,775","409,108",2015-05-14 17:56,중구
15-Apr,3호선,333,매봉,"312,172","296,935","312,172","296,935",2015-05-14 17:56,강남구
15-Apr,3호선,336,학여울,"84,346","88,963","84,346","88,963",2015-05-14 17:56,강남구
15-Apr,3호선,321,충무로,40,0,40,0,2015-05-14 17:56,중구
15-Apr,3호선,331,남부터미널,"983,527","1,028,803","983,527","1,028,803",2015-05-14 17:56,서초구
15-Apr,3호선,310,구파발,"461,417","364,208","461,417","364,208",2015-05-14 17:56,은평구
15-Apr,3호선,328,잠원,"149,673","144,065","149,673","144,065",2015-05-14 17:56,서초구
15-Apr,4호선,421,동대문,"616,635","653,550","616,635","653,550",2015-05-14 17:56,종로구
15-Apr,4호선,416,미아사거리,"879,513","844,696","879,513","844,696",2015-05-14 17:56,강북구
15-Apr,4호선,426,서울역,"309,385","569,366","309,385","569,366",2015-05-14 17:56,용산구
15-Apr,4호선,415,미아,"487,716","434,121","487,716","434,121",2015-05-14 17:56,강북구
15-Apr,4호선,418,성신여대입구,"762,652","688,819","762,652","688,819",2015-05-14 17:56,성북구
15-Apr,4호선,420,혜화,"1,189,475","1,244,212","1,189,475","1,244,212",2015-05-14 17:56,종로구
15-Apr,4호선,434,남태령,"29,431","23,255","29,431","23,255",2015-05-14 17:56,서초구
15-Apr,4호선,414,수유(강북구청),"1,214,062","1,174,066","1,214,062","1,174,066",2015-05-14 17:56,강북구
15-Apr,4호선,429,신용산,"356,036","384,598","356,036","384,598",2015-05-14 17:56,용산구
15-Apr,4호선,419,한성대입구,"489,045","469,025","489,045","469,025",2015-05-14 17:56,성북구
15-Apr,4호선,424,명동,"1,198,833","1,301,585","1,198,833","1,301,585",2015-05-14 17:56,중구
15-Apr,4호선,410,상계,"569,419","496,976","569,419","496,976",2015-05-14 17:56,노원구
15-Apr,4호선,409,당고개,"322,775","298,498","322,775","298,498",2015-05-14 17:56,노원구
15-Apr,4호선,425,회현,"717,685","782,885","717,685","782,885",2015-05-14 17:56,중구
15-Apr,4호선,417,길음,"797,435","767,292","797,435","767,292",2015-05-14 17:56,성북구
15-Apr,4호선,427,숙대입구,"534,971","527,471","534,971","527,471",2015-05-14 17:56,용산구
15-Apr,4호선,430,이촌,"238,398","272,912","238,398","272,912",2015-05-14 17:56,용산구
15-Apr,4호선,428,삼각지,"137,520","171,957","137,520","171,957",2015-05-14 17:56,용산구
15-Apr,4호선,413,쌍문,"891,352","747,706","891,352","747,706",2015-05-14 17:56,도봉구
15-Apr,4호선,423,충무로,"975,218","991,432","975,218","991,432",2015-05-14 17:56,중구
15-Apr,4호선,431,동작,"73,702","83,759","73,702","83,759",2015-05-14 17:56,동작구
15-Apr,4호선,432,총신대입구,"574,135","645,955","574,135","645,955",2015-05-14 17:56,동작구
15-Apr,4호선,433,사당,"979,614","776,782","979,614","776,782",2015-05-14 17:56,동작구
15-Apr,4호선,412,창동,"756,376","832,561","756,376","832,561",2015-05-14 17:56,도봉구
15-Apr,4호선,422,동대문역사문화공원,"628,770","584,157","628,770","584,157",2015-05-14 17:56,중구
15-Apr,4호선,411,노원,"634,521","720,334","634,521","720,334",2015-05-14 17:56,노원구
15-Apr,5호선,2556,올림픽공원,"202,023","201,715","202,023","201,715",2015-05-14 17:56,송파구
15-Apr,5호선,2554,상일동,"312,750","250,458","312,750","250,458",2015-05-14 17:56,강동구
15-Apr,5호선,2534,광화문,"1,026,966","1,077,416","1,026,966","1,077,416",2015-05-14 17:56,종로구
15-Apr,5호선,2516,발산,"299,485","297,492","299,485","297,492",2015-05-14 17:56,강서구
15-Apr,5호선,2523,양평,"163,041","165,584","163,041","165,584",2015-05-14 17:56,영등포구
15-Apr,5호선,2560,거여,"181,570","169,033","181,570","169,033",2015-05-14 17:56,송파구
15-Apr,5호선,2539,신금호,"138,382","135,804","138,382","135,804",2015-05-14 17:56,성동구
15-Apr,5호선,2513,김포공항,"198,472","173,715","198,472","173,715",2015-05-14 17:56,강서구
15-Apr,5호선,2522,오목교,"711,939","772,383","711,939","772,383",2015-05-14 17:56,양천구
15-Apr,5호선,2526,신길,"83,583","99,444","83,583","99,444",2015-05-14 17:56,영등포구
15-Apr,5호선,2514,송정,"275,215","263,684","275,215","263,684",2015-05-14 17:56,강서구
15-Apr,5호선,2519,까치산,"782,710","726,250","782,710","726,250",2015-05-14 17:56,강서구
15-Apr,5호선,2551,굽은다리,"237,147","223,079","237,147","223,079",2015-05-14 17:56,강동구
15-Apr,5호선,2557,방이,"175,884","179,672","175,884","179,672",2015-05-14 17:56,송파구
15-Apr,5호선,2545,군자,"296,680","324,398","296,680","324,398",2015-05-14 17:56,광진구
15-Apr,5호선,2548,천호,"519,507","567,011","519,507","567,011",2015-05-14 17:56,강동구
15-Apr,5호선,2525,영등포시장,"170,654","190,924","170,654","190,924",2015-05-14 17:56,영등포구
15-Apr,5호선,2535,종로3가,"293,497","289,905","293,497","289,905",2015-05-14 17:56,종로구
15-Apr,5호선,2538,청구,"105,207","103,646","105,207","103,646",2015-05-14 17:56,중구
15-Apr,5호선,2549,강동,"524,807","430,415","524,807","430,415",2015-05-14 17:56,강동구
15-Apr,5호선,2546,아차산,"414,171","388,620","414,171","388,620",2015-05-14 17:56,광진구
15-Apr,5호선,2515,마곡,"79,086","61,856","79,086","61,856",2015-05-14 17:56,강서구
15-Apr,5호선,2528,여의나루,"427,772","501,786","427,772","501,786",2015-05-14 17:56,영등포구
15-Apr,5호선,2550,길동,"176,730","186,243","176,730","186,243",2015-05-14 17:56,강동구
15-Apr,5호선,2511,방화,"183,870","174,865","183,870","174,865",2015-05-14 17:56,강서구
15-Apr,5호선,2512,개화산,"147,125","134,803","147,125","134,803",2015-05-14 17:56,강서구
15-Apr,5호선,2521,목동,"519,206","542,030","519,206","542,030",2015-05-14 17:56,양천구
15-Apr,5호선,2532,충정로,"137,968","144,124","137,968","144,124",2015-05-14 17:56,서대문구
15-Apr,5호선,2541,왕십리(성동구청),"132,448","167,426","132,448","167,426",2015-05-14 17:56,성동구
15-Apr,5호선,2543,답십리,"434,735","395,248","434,735","395,248",2015-05-14 17:56,성동구
15-Apr,5호선,2524,영등포구청,"86,298","88,052","86,298","88,052",2015-05-14 17:56,영등포구
15-Apr,5호선,2552,명일,"220,049","216,702","220,049","216,702",2015-05-14 17:56,강동구
15-Apr,5호선,2553,고덕,"209,528","209,365","209,528","209,365",2015-05-14 17:56,강동구
15-Apr,5호선,2533,서대문,"486,436","495,822","486,436","495,822",2015-05-14 17:56,종로구
15-Apr,5호선,2536,을지로4가,"112,294","125,721","112,294","125,721",2015-05-14 17:56,중구
15-Apr,5호선,2558,오금,"107,263","108,096","107,263","108,096",2015-05-14 17:56,송파구
15-Apr,5호선,2529,마포,"389,287","407,178","389,287","407,178",2015-05-14 17:56,마포구
15-Apr,5호선,2544,장한평,"487,756","487,624","487,756","487,624",2015-05-14 17:56,동대문구
15-Apr,5호선,2520,신정,"403,118","310,193","403,118","310,193",2015-05-14 17:56,양천구
15-Apr,5호선,2517,우장산,"427,457","410,999","427,457","410,999",2015-05-14 17:56,강서구
15-Apr,5호선,2527,여의도,"693,122","817,209","693,122","817,209",2015-05-14 17:56,영등포구
15-Apr,5호선,2530,공덕,"369,607","396,520","369,607","396,520",2015-05-14 17:56,마포구
15-Apr,5호선,2540,행당,"216,369","186,043","216,369","186,043",2015-05-14 17:56,성동구
15-Apr,5호선,2555,둔촌동,"342,672","337,798","342,672","337,798",2015-05-14 17:56,강동구
15-Apr,5호선,2537,동대문역사문화공원,"80,751","97,766","80,751","97,766",2015-05-14 17:56,중구
15-Apr,5호선,2547,광나루,"433,327","389,195","433,327","389,195",2015-05-14 17:56,광진구
15-Apr,5호선,2561,마천,"137,749","135,158","137,749","135,158",2015-05-14 17:56,송파구
15-Apr,5호선,2559,개롱,"177,308","175,326","177,308","175,326",2015-05-14 17:56,송파구
15-Apr,5호선,2531,애오개,"159,371","164,121","159,371","164,121",2015-05-14 17:56,마포구
15-Apr,5호선,2542,마장,"160,951","157,698","160,951","157,698",2015-05-14 17:56,성동구
15-Apr,5호선,2518,화곡,"764,375","692,553","764,375","692,553",2015-05-14 17:56,강서구
15-Apr,6호선,2644,돌곶이,"248,152","221,371","248,152","221,371",2015-05-14 17:56,성북구
15-Apr,6호선,2627,공덕,"477,804","468,931","477,804","468,931",2015-05-14 17:56,마포구
15-Apr,6호선,2633,버티고개,"67,805","62,497","67,805","62,497",2015-05-14 17:56,중구
15-Apr,6호선,2630,녹사평(용산구청),"196,584","217,753","196,584","217,753",2015-05-14 17:56,용산구
15-Apr,6호선,2616,구산,"198,417","130,729","198,417","130,729",2015-05-14 17:56,은평구
15-Apr,6호선,2642,월곡,"353,862","326,771","353,862","326,771",2015-05-14 17:56,성북구
15-Apr,6호선,2625,광흥창,"238,703","228,140","238,703","228,140",2015-05-14 17:56,마포구
